"1. Stock (A) : New or Perfectly Repaired part, Stock (B) : Used but reusable part (Exception the Using Spare Part)",,,,,,,,,,,
2. Record the every a quarter year about consumer goods and Receive goods,,,,,,,,,,,
"3. Class: Enter letter 'L' for legal spare part, Enter letter 'M' for major spare part, Enter letter 'G' for general spare part",,,,,,,,,,,
"4. Standard / Legal quantity shall be set refer to DMM-SHEQ, PR-06, 3.2",,,,,,,,,,,
,,,,,,,,,,,
PC,Numbering,2.0,Items,"Part Number
(Code Number)",,previous stock,Received,Consumption,"Stock
(A)","Stock
(B)",Remark
PC,,1.0,MAIN ENGINE B&W 6L35 MC,2.0,,RECEIVE ULSAN 2025,,,,,M/E
,01-001-01,G,Stud,7.0,PC,4.0,,,4.0,,
,01-001-02,G,Nut,8.0,PC,4.0,,,4.0,,
,01-001-03,G,Washer,85.0,PC,0.0,,,1.0,,
01.        MAIN ENGINE,01-002,,Sheet No. 111E - Main bearing,,,,,,,,
,01-002-01,M,Main bearing,1.0,PC,1.0,,,1.0,,
01.        MAIN ENGINE,01-003,,Sheet No. 211D - Framo box(ME LO oil tank side),,,,,,,,
,01-003-01,G,O-ring for framo ( 9745),33.0,PC,12.0,,,12.0,,
,01-003-02,G,shaft ( A 12795),55.0,PC,1.0,,,1.0,,
,01-003-03,G,cargo seal set ( A 20888-A),36 & 37,PC,0.0,,,4.0,,
,01-003-04,G,mech seal (A 30527),47.0,PC,0.0,,,4.0,,
,01-003-05,G,bearing roll (A 10099),50.0,PC,2.0,,,2.0,,
,01-003-06,G,bearing ball,58.0,PC,0.0,,,1.0,,
,01-003-07,G,wear ring (A 85456),,PC,0.0,,,2.0,,
,01-003-08,G,ring (A 28105),77.0,PC,2.0,,,2.0,,
,01-003-09,G,Pin spring (A 13321),68.0,PC,2.0,,,2.0,,
,01-003-10,G,framo seal emement,8.0,PC,5.0,,,5.0,,
,01-003-11,G,framo seal emement,29.0,PC,12.0,,,12.0,,
,01-003-12,G,framo seal emement,45.0,PC,10.0,,,10.0,,
,01-003-13,G,framo seal emement,64.0,PC,10.0,,,10.0,,
01.        MAIN ENGINE,01-004,,Sheet No. 231D- Scav. Air reciever,,,,,,,,
,01-004-01,G,O-ring for scav. manifold,B17,PC,0.0,,,1.0,,
01.        MAIN ENGINE,01-005,,Sheet No. 231E- Cylinder frame,,,,,,,,
,01-005-01,G,Bush,8.0,PC,1.0,,,1.0,,
,01-005-02,G,O-ring for cylinder frame,50.0,PC,1.0,,,1.0,,
,01-005-03,G,Stud,52.0,PC,4.0,,,4.0,,
,01-005-04,G,Nut,15.0,PC,4.0,,,4.0,,
01.        MAIN ENGINE,01-006,,Sheet No.231 F - Cylinder liner,,,,,,,,
,01-006-01,G,Non return valve,A,PC,2.0,,,2.0,,
,01-006-02,G,Body non -return valve,A1,PC,0.0,,,0.0,,
,01-006-03,M,Cylinder liner,1.0,PC,3.0,,2.0,1.0,,
,01-006-04,G,Screw,5.0,PC,1.0,,0.0,1.0,,
,01-006-05,G,O-ring,11.0,PC,2.0,,0.0,2.0,,
,01-006-06,G,O-ring,12.0,PC,10.0,,0.0,10.0,,
,01-006-07,G,Gasket,15.0,PC,10.0,,0.0,10.0,,
,01-006-08,G,Gasket,20.0,PC,8.0,,,8.0,,
